,Game Number," ""Game Length"""
0,1,30
1,2,29
2,3,31
3,4,16
4,5,24
5,6,29
6,7,28
7,8,117
8,9,42
9,10,23
10,11,40
11,12,15
12,13,18
13,14,51
14,15,15
15,16,19
16,17,30
17,18,25
18,19,17
19,20,55
20,21,20
21,22,12
22,23,39
23,24,25
24,25,56
25,26,61
26,27,77
27,28,34
28,29,14
29,30,8
30,31,31
31,32,34
32,33,22
33,34,12
34,35,52
35,36,50
36,37,24
37,38,20
38,39,91
39,40,33
40,41,27
41,42,25
42,43,83
43,44,12
44,45,21
45,46,38
46,47,20
47,48,24
48,49,37
49,50,18
50,51,56
51,52,20
52,53,47
53,54,51
54,55,22
55,56,46
56,57,24
57,58,35
58,59,28
59,60,12
60,61,28
61,62,43
62,63,50
63,64,37
64,65,127
65,66,11
66,67,12
67,68,22
68,69,25
69,70,57
70,71,53
71,72,38
72,73,33
73,74,16
74,75,35
75,76,29
76,77,23
77,78,21
78,79,11
79,80,31
80,81,12
81,82,37
82,83,40
83,84,29
84,85,14
85,86,15
86,87,38
87,88,74
88,89,19
89,90,121
90,91,52
91,92,25
92,93,14
93,94,12
94,95,31
95,96,25
96,97,16
97,98,19
98,99,54
99,100,24
100,101,62
101,102,27
102,103,21
103,104,30
104,105,63
105,106,14
106,107,27
107,108,46
108,109,8
109,110,19
110,111,81
111,112,136
112,113,60
113,114,44
114,115,44
115,116,115
116,117,28
117,118,15
118,119,26
119,120,31
120,121,46
121,122,29
122,123,22
123,124,25
124,125,37
125,126,78
126,127,11
127,128,17
128,129,20
129,130,38
130,131,30
131,132,51
132,133,42
133,134,64
134,135,37
135,136,32
136,137,32
137,138,35
138,139,34
139,140,36
140,141,55
141,142,35
142,143,13
143,144,109
144,145,39
145,146,39
146,147,69
147,148,28
148,149,13
149,150,16
150,151,23
151,152,14
152,153,116
153,154,36
154,155,41
155,156,40
156,157,31
157,158,39
158,159,21
159,160,34
160,161,11
161,162,46
162,163,27
163,164,10
164,165,47
165,166,12
166,167,42
167,168,34
168,169,16
169,170,19
170,171,100
171,172,34
172,173,20
173,174,23
174,175,29
175,176,32
176,177,81
177,178,15
178,179,50
179,180,67
180,181,76
181,182,30
182,183,16
183,184,20
184,185,37
185,186,23
186,187,18
187,188,47
188,189,13
189,190,24
190,191,8
191,192,16
192,193,24
193,194,26
194,195,35
195,196,14
196,197,11
197,198,43
198,199,48
199,200,19
200,201,40
201,202,197
202,203,33
203,204,41
204,205,28
205,206,25
206,207,17
207,208,62
208,209,17
209,210,71
210,211,30
211,212,41
212,213,17
213,214,51
214,215,9
215,216,33
216,217,47
217,218,13
218,219,59
219,220,17
220,221,9
221,222,51
222,223,26
223,224,39
224,225,39
225,226,35
226,227,18
227,228,45
228,229,36
229,230,34
230,231,30
231,232,34
232,233,36
233,234,14
234,235,7
235,236,28
236,237,34
237,238,49
238,239,95
239,240,66
240,241,36
241,242,32
242,243,25
243,244,25
244,245,30
245,246,15
246,247,12
247,248,40
248,249,32
249,250,26
250,251,18
251,252,60
252,253,21
253,254,79
254,255,17
255,256,42
256,257,40
257,258,23
258,259,39
259,260,58
260,261,19
261,262,45
262,263,17
263,264,66
264,265,31
265,266,25
266,267,38
267,268,16
268,269,36
269,270,20
270,271,29
271,272,26
272,273,32
273,274,22
274,275,11
275,276,60
276,277,133
277,278,46
278,279,13
279,280,20
280,281,34
281,282,20
282,283,79
283,284,44
284,285,9
285,286,63
286,287,65
287,288,43
288,289,19
289,290,68
290,291,20
291,292,24
292,293,12
293,294,83
294,295,20
295,296,33
296,297,15
297,298,29
298,299,19
299,300,63
300,301,31
301,302,47
302,303,20
303,304,45
304,305,10
305,306,13
306,307,10
307,308,23
308,309,8
309,310,84
310,311,38
311,312,22
312,313,43
313,314,25
314,315,32
315,316,29
316,317,20
317,318,26
318,319,26
319,320,40
320,321,129
321,322,45
322,323,23
323,324,67
324,325,49
325,326,90
326,327,17
327,328,76
328,329,27
329,330,136
330,331,33
331,332,21
332,333,18
333,334,14
334,335,24
335,336,14
336,337,30
337,338,26
338,339,26
339,340,29
340,341,18
341,342,53
342,343,47
343,344,93
344,345,47
345,346,9
346,347,56
347,348,60
348,349,12
349,350,69
350,351,18
351,352,38
352,353,38
353,354,27
354,355,42
355,356,61
356,357,33
357,358,39
358,359,47
359,360,13
360,361,27
361,362,17
362,363,99
363,364,44
364,365,42
365,366,43
366,367,24
367,368,29
368,369,48
369,370,34
370,371,43
371,372,52
372,373,10
373,374,28
374,375,41
375,376,87
376,377,9
377,378,22
378,379,60
379,380,19
380,381,33
381,382,35
382,383,26
383,384,22
384,385,24
385,386,68
386,387,23
387,388,19
388,389,32
389,390,32
390,391,23
391,392,22
392,393,23
393,394,49
394,395,20
395,396,11
396,397,64
397,398,24
398,399,29
399,400,47
400,401,20
401,402,13
402,403,15
403,404,34
404,405,89
405,406,81
406,407,22
407,408,79
408,409,37
409,410,18
410,411,26
411,412,35
412,413,26
413,414,13
414,415,25
415,416,118
416,417,13
417,418,23
418,419,14
419,420,12
420,421,17
421,422,16
422,423,35
423,424,19
424,425,114
425,426,97
426,427,24
427,428,71
428,429,17
429,430,22
430,431,25
431,432,36
432,433,53
433,434,51
434,435,14
435,436,48
436,437,45
437,438,25
438,439,18
439,440,17
440,441,16
441,442,83
442,443,22
443,444,16
444,445,47
445,446,25
446,447,48
447,448,15
448,449,57
449,450,14
450,451,24
451,452,38
452,453,100
453,454,34
454,455,37
455,456,59
456,457,24
457,458,16
458,459,55
459,460,36
460,461,28
461,462,33
462,463,65
463,464,12
464,465,14
465,466,32
466,467,15
467,468,28
468,469,21
469,470,84
470,471,46
471,472,35
472,473,31
473,474,16
474,475,26
475,476,16
476,477,14
477,478,29
478,479,9
479,480,29
480,481,35
481,482,47
482,483,30
483,484,13
484,485,23
485,486,16
486,487,30
487,488,23
488,489,27
489,490,13
490,491,37
491,492,26
492,493,17
493,494,56
494,495,73
495,496,144
496,497,40
497,498,21
498,499,47
499,500,39
500,501,16
501,502,37
502,503,12
503,504,17
504,505,13
505,506,12
506,507,48
507,508,73
508,509,41
509,510,50
510,511,10
511,512,65
512,513,58
513,514,13
514,515,18
515,516,22
516,517,10
517,518,11
518,519,31
519,520,27
520,521,77
521,522,21
522,523,30
523,524,16
524,525,15
525,526,18
526,527,47
527,528,56
528,529,95
529,530,33
530,531,42
531,532,51
532,533,13
533,534,29
534,535,53
535,536,41
536,537,30
537,538,16
538,539,24
539,540,16
540,541,70
541,542,28
542,543,24
543,544,45
544,545,47
545,546,64
546,547,8
547,548,23
548,549,16
549,550,54
550,551,11
551,552,92
552,553,11
553,554,64
554,555,11
555,556,58
556,557,35
557,558,19
558,559,30
559,560,23
560,561,157
561,562,40
562,563,19
563,564,15
564,565,39
565,566,77
566,567,30
567,568,13
568,569,11
569,570,18
570,571,42
571,572,27
572,573,16
573,574,35
574,575,37
575,576,72
576,577,31
577,578,20
578,579,36
579,580,40
580,581,23
581,582,7
582,583,20
583,584,46
584,585,103
585,586,90
586,587,15
587,588,63
588,589,86
589,590,18
590,591,13
591,592,20
592,593,15
593,594,8
594,595,39
595,596,54
596,597,52
597,598,36
598,599,9
599,600,41
600,601,14
601,602,66
602,603,34
603,604,13
604,605,19
605,606,12
606,607,35
607,608,37
608,609,46
609,610,25
610,611,53
611,612,30
612,613,27
613,614,30
614,615,28
615,616,91
616,617,18
617,618,19
618,619,32
619,620,24
620,621,52
621,622,18
622,623,88
623,624,38
624,625,25
625,626,20
626,627,51
627,628,25
628,629,44
629,630,14
630,631,17
631,632,54
632,633,35
633,634,40
634,635,59
635,636,34
636,637,30
637,638,30
638,639,33
639,640,60
640,641,46
641,642,26
642,643,61
643,644,45
644,645,35
645,646,33
646,647,18
647,648,31
648,649,44
649,650,24
650,651,12
651,652,15
652,653,60
653,654,24
654,655,13
655,656,40
656,657,44
657,658,17
658,659,14
659,660,19
660,661,16
661,662,40
662,663,96
663,664,23
664,665,35
665,666,33
666,667,45
667,668,18
668,669,33
669,670,15
670,671,43
671,672,19
672,673,36
673,674,28
674,675,32
675,676,9
676,677,34
677,678,8
678,679,21
679,680,26
680,681,13
681,682,34
682,683,15
683,684,32
684,685,30
685,686,21
686,687,28
687,688,28
688,689,37
689,690,10
690,691,28
691,692,38
692,693,18
693,694,23
694,695,46
695,696,30
696,697,31
697,698,34
698,699,26
699,700,13
700,701,36
701,702,11
702,703,48
703,704,24
704,705,48
705,706,18
706,707,152
707,708,13
708,709,106
709,710,19
710,711,12
711,712,20
712,713,12
713,714,39
714,715,20
715,716,20
716,717,52
717,718,77
718,719,37
719,720,79
720,721,14
721,722,23
722,723,32
723,724,56
